,pres,psal,temp,cycle_number,profile_id
0,4.4,35.421,27.165,279,3900737_279
1,10.0,35.421,27.063,279,3900737_279
2,16.9,35.422,27.055,279,3900737_279
3,23.7,35.422,27.048,279,3900737_279
4,30.9,35.421,27.046,279,3900737_279
5,37.5,35.421,27.043,279,3900737_279
6,44.9,35.422,27.044,279,3900737_279
7,52.0,35.421,27.04,279,3900737_279
8,58.9,35.421,27.037,279,3900737_279
9,66.9,35.42,27.006,279,3900737_279
10,74.7,35.474,27.041,279,3900737_279
11,82.7,35.54,27.131,279,3900737_279
12,90.8,35.539,27.096,279,3900737_279
13,99.2,35.537,27.069,279,3900737_279
14,106.9,35.623,26.749,279,3900737_279
15,114.7,35.982,25.086,279,3900737_279
16,123.0,36.043,23.516,279,3900737_279
17,130.7,35.936,22.356,279,3900737_279
18,138.6,35.787,20.597,279,3900737_279
19,146.9,35.521,18.285,279,3900737_279
20,154.6,35.334,16.696,279,3900737_279
21,162.7,35.201,15.59,279,3900737_279
22,170.3,35.036,14.01,279,3900737_279
23,179.7,34.978,13.509,279,3900737_279
24,189.4,34.947,13.238,279,3900737_279
25,198.9,34.93,13.036,279,3900737_279
26,209.2,34.924,12.949,279,3900737_279
27,220.4,34.916,12.851,279,3900737_279
28,231.5,34.912,12.784,279,3900737_279
29,243.3,34.911,12.747,279,3900737_279
30,255.2,34.906,12.635,279,3900737_279
31,269.7,34.894,12.452,279,3900737_279
32,283.2,34.882,12.265,279,3900737_279
33,297.6,34.86,11.866,279,3900737_279
34,312.0,34.853,11.779,279,3900737_279
35,329.5,34.834,11.446,279,3900737_279
36,346.1,34.814,11.119,279,3900737_279
37,363.3,34.79,10.813,279,3900737_279
38,382.5,34.776,10.557,279,3900737_279
39,402.3,34.754,10.182,279,3900737_279
40,422.6,34.73,9.814,279,3900737_279
41,444.4,34.69,9.134,279,3900737_279
42,467.3,34.674,8.814,279,3900737_279
43,491.8,34.642,8.335,279,3900737_279
44,516.5,34.623,8.001,279,3900737_279
45,543.4,34.611,7.756,279,3900737_279
46,571.5,34.601,7.57,279,3900737_279
47,600.5,34.592,7.366,279,3900737_279
48,631.4,34.581,7.102,279,3900737_279
49,664.7,34.569,6.749,279,3900737_279
50,698.6,34.563,6.559,279,3900737_279
51,734.6,34.56,6.357,279,3900737_279
52,771.6,34.554,6.181,279,3900737_279
53,811.6,34.546,5.819,279,3900737_279
54,853.8,34.539,5.537,279,3900737_279
55,897.9,34.539,5.236,279,3900737_279
56,943.3,34.54,4.976,279,3900737_279
57,991.7,34.542,4.766,279,3900737_279
58,1042.9,34.548,4.481,279,3900737_279
59,1096.4,34.552,4.255,279,3900737_279
60,1152.6,34.557,4.043,279,3900737_279
61,1211.9,34.563,3.856,279,3900737_279
62,1273.8,34.573,3.59,279,3900737_279
63,1339.6,34.585,3.32,279,3900737_279
64,1407.3,34.594,3.097,279,3900737_279
65,1480.9,34.603,2.905,279,3900737_279
66,1556.9,34.615,2.76,279,3900737_279
67,1635.8,34.623,2.618,279,3900737_279
68,1719.8,34.631,2.478,279,3900737_279
69,1808.7,34.637,2.383,279,3900737_279
70,1900.6,34.64,2.317,279,3900737_279
71,2001.9,34.646,2.221,279,3900737_279
