,date,nProf
0,2004-01-31,2219
1,2004-02-29,2135
2,2004-03-31,2389
3,2004-04-30,2345
4,2004-05-31,2562
5,2004-06-30,2513
6,2004-07-31,2586
7,2004-08-31,2695
8,2004-09-30,2810
9,2004-10-31,2995
10,2004-11-30,2978
11,2004-12-31,3225
12,2005-01-31,3383
13,2005-02-28,3167
14,2005-03-31,3593
15,2005-04-30,3593
16,2005-05-31,3917
17,2005-06-30,4061
18,2005-07-31,4252
19,2005-08-31,4254
20,2005-09-30,4180
21,2005-10-31,4604
22,2005-11-30,4717
23,2005-12-31,5059
24,2006-01-31,5219
25,2006-02-28,5021
26,2006-03-31,5592
27,2006-04-30,5460
28,2006-05-31,5629
29,2006-06-30,5551
30,2006-07-31,5734
31,2006-08-31,5790
32,2006-09-30,5860
33,2006-10-31,6437
34,2006-11-30,6599
35,2006-12-31,6885
36,2007-01-31,6992
37,2007-02-28,6361
38,2007-03-31,7083
39,2007-04-30,6731
40,2007-05-31,7011
41,2007-06-30,6725
42,2007-07-31,7146
43,2007-08-31,7145
44,2007-09-30,7023
45,2007-10-31,7500
46,2007-11-30,7403
47,2007-12-31,7672
48,2008-01-31,7751
49,2008-02-29,7496
50,2008-03-31,8071
51,2008-04-30,7922
52,2008-05-31,8166
53,2008-06-30,8130
54,2008-07-31,8181
55,2008-08-31,8124
56,2008-09-30,7885
57,2008-10-31,8327
58,2008-11-30,8620
59,2008-12-31,9439
60,2009-01-31,8989
61,2009-02-28,7985
62,2009-03-31,8798
63,2009-04-30,8548
64,2009-05-31,8852
65,2009-06-30,8603
66,2009-07-31,8977
67,2009-08-31,8419
68,2009-09-30,8058
69,2009-10-31,8244
70,2009-11-30,8133
71,2009-12-31,8367
72,2010-01-31,8375
73,2010-02-28,7695
74,2010-03-31,8504
75,2010-04-30,8169
76,2010-05-31,8772
77,2010-06-30,8420
78,2010-07-31,8670
79,2010-08-31,8501
80,2010-09-30,8217
81,2010-10-31,8473
82,2010-11-30,8435
83,2010-12-31,8988
84,2011-01-31,8875
85,2011-02-28,7962
86,2011-03-31,8968
87,2011-04-30,9033
88,2011-05-31,9228
89,2011-06-30,8858
90,2011-07-31,9238
91,2011-08-31,9300
92,2011-09-30,9434
93,2011-10-31,10135
94,2011-11-30,9656
95,2011-12-31,10076
96,2012-01-31,10183
97,2012-02-29,9477
98,2012-03-31,10262
99,2012-04-30,9887
100,2012-05-31,10201
101,2012-06-30,9904
102,2012-07-31,10402
103,2012-08-31,10552
104,2012-09-30,10904
105,2012-10-31,11360
106,2012-11-30,11100
107,2012-12-31,11511
108,2013-01-31,12020
109,2013-02-28,11086
110,2013-03-31,12211
111,2013-04-30,11267
112,2013-05-31,11612
113,2013-06-30,11289
114,2013-07-31,11454
115,2013-08-31,11826
116,2013-09-30,12332
117,2013-10-31,12762
118,2013-11-30,11388
119,2013-12-31,11910
120,2014-01-31,12055
121,2014-02-28,11184
122,2014-03-31,12485
123,2014-04-30,12306
124,2014-05-31,13242
125,2014-06-30,12624
126,2014-07-31,12795
127,2014-08-31,12800
128,2014-09-30,12377
129,2014-10-31,12527
130,2014-11-30,12226
131,2014-12-31,13057
132,2015-01-31,13406
133,2015-02-28,12571
134,2015-03-31,13448
135,2015-04-30,13214
136,2015-05-31,14126
137,2015-06-30,13010
138,2015-07-31,14413
139,2015-08-31,14070
140,2015-09-30,13374
141,2015-10-31,14093
142,2015-11-30,14319
143,2015-12-31,14578
144,2016-01-31,14479
145,2016-02-29,13459
146,2016-03-31,14635
147,2016-04-30,13921
148,2016-05-31,14650
149,2016-06-30,14152
150,2016-07-31,14860
151,2016-08-31,14413
152,2016-09-30,13742
153,2016-10-31,14164
154,2016-11-30,13578
155,2016-12-31,14248
156,2017-01-31,14122
157,2017-02-28,12687
158,2017-03-31,13894
159,2017-04-30,13469
160,2017-05-31,13534
161,2017-06-30,13441
162,2017-07-31,13060
163,2017-08-31,13432
164,2017-09-30,13239
165,2017-10-31,14002
166,2017-11-30,13514
167,2017-12-31,13827
